6543,39,-4.51,-0.54,3.97
2304,3,-3.79,-1.06,2.73
5422,88,-0.83,-0.45,0.38
14232,19,-5.1,-6.45,1.35
12120,50,6.94,6.64,0.3
11800,15,1.89,0.56,1.33
20668,34,-6.02,5.67,11.69
16433,47,6.07,4.67,1.4
15148,3,9.17,-5.46,14.63
9815,28,2.48,4.57,2.09
3193,25,2.23,3.81,1.58
5920,5,-8.74,-0.52,8.22
10824,37,6.46,4.57,1.89
4220,67,8.16,5.91,2.25
1364,6,3.69,1.99,1.7
24526,14,-7.96,-4.12,3.84
16939,24,6.07,-3.64,9.71
15973,95,2.33,4.43,2.1
19329,2,5.34,1.57,3.77
16434,91,2.67,5.42,2.75
17121,35,-2.33,5.3,7.63
19981,45,3.25,-2.5,5.75
8001,76,8.59,7.32,1.27
18904,31,3.01,6.05,3.04
9577,57,-4.61,-7.67,3.06
9723,29,0.53,1.89,1.36
18051,10,3.98,1.18,2.8
1285,47,1.02,3.74,2.72
24618,42,-8.74,-3.69,5.05
10691,10,1.65,2.75,1.1
10416,31,8.79,2.41,6.38
22767,59,-9.85,-7.56,2.29
15800,49,2.91,6.66,3.75
4333,75,5.05,4.07,0.98
16587,65,-1.21,5.72,6.93
13953,45,-6.94,-5.89,1.05
14553,55,4.22,-0.87,5.09
16889,13,-3.11,-1.07,2.04
7212,48,4.13,2.46,1.67
14553,30,-0.15,0.45,0.6
4562,50,-3.93,-0.38,3.55
15818,35,2.33,4.1,1.77
1652,16,1.99,-0.9,2.89
781,20,8.4,6.28,2.12
9629,42,8.5,4.09,4.41
4705,35,7.38,5.56,1.82
5431,23,-0.68,-0.79,0.11
5308,6,8.06,0.84,7.22
2442,7,-3.93,-1.7,2.23
16110,81,-3.83,-2.41,1.42
14121,78,2.04,3.44,1.4
17008,52,4.03,3.31,0.72
5732,98,5.0,3.12,1.88
18376,62,-3.79,5.84,9.63
22815,67,9.08,6.46,2.62
16201,95,5.63,6.6,0.97
6225,65,7.14,5.13,2.01
13387,6,-0.87,2.03,2.9
21038,38,-2.28,5.01,7.29
22775,13,-4.27,-1.49,2.78
11829,81,5.34,5.71,0.37
18605,14,4.95,-1.27,6.22
3367,26,3.3,6.61,3.31
14651,20,-9.13,5.71,14.84
5995,22,-4.27,-0.17,4.1
18325,26,0.63,6.86,6.23
5367,63,3.35,3.03,0.32
20667,58,-4.17,-5.99,1.82
20748,53,3.93,5.94,2.01
12290,81,7.18,3.4,3.78
642,75,5.97,5.01,0.96
6259,26,-2.28,-1.7,0.58
10215,30,-5.39,-2.81,2.58
7200,22,-5.19,2.03,7.22
