3549,33,8.25,3.09,5.16
20180,26,9.03,5.73,3.3
11906,76,0.49,-1.11,1.6
1768,8,4.32,1.76,2.56
13098,39,4.56,3.72,0.84
21225,67,-1.41,4.45,5.86
5192,44,-2.62,1.3,3.92
9136,83,2.28,2.21,0.07
6218,7,-4.56,-1.9,2.66
5720,19,8.98,-0.27,9.25
8118,54,-5.05,-2.29,2.76
17871,29,-0.68,-4.2,3.52
3736,15,-9.9,-6.64,3.26
2568,23,-2.67,-4.62,1.95
15629,91,8.5,3.64,4.86
10693,15,3.25,-3.73,6.98
196,2,8.06,2.58,5.48
1403,41,6.5,3.97,2.53
24637,44,1.5,0.56,0.94
2283,49,8.74,3.99,4.75
4303,26,-5.1,1.72,6.82
21684,38,-3.93,1.74,5.67
10537,7,-5.34,-0.91,4.43
5301,6,5.0,-2.78,7.78
24482,27,3.54,5.33,1.79
9955,74,7.09,0.02,7.07
4234,8,1.26,-0.36,1.62
22459,68,-4.42,1.83,6.25
12157,53,7.43,5.27,2.16
22865,63,0.87,-2.7,3.57
15851,11,-7.77,-1.64,6.13
7661,66,-0.73,-1.79,1.06
2985,65,0.44,4.69,4.25
9513,68,0.34,3.76,3.42
22122,90,6.17,2.15,4.02
22854,87,-4.85,-0.37,4.48
3463,53,5.39,2.65,2.74
22264,16,-9.51,-2.47,7.04
15873,1,4.95,1.71,3.24
19837,41,4.03,2.97,1.06
20166,34,5.05,6.19,1.14
16717,11,-0.15,3.0,3.15
12952,29,-8.64,-2.55,6.09
18165,55,-9.27,-0.16,9.11
5314,89,-8.54,0.44,8.98
13238,19,4.66,-0.65,5.31
24138,6,-1.75,-1.19,0.56
12898,69,-5.0,-0.36,4.64
24750,6,-4.56,-1.47,3.09
21053,27,-4.47,-0.8,3.67
1206,9,6.5,2.78,3.72
12230,69,0.53,0.3,0.23
11338,81,2.43,-0.28,2.71
3284,25,-1.75,2.2,3.95
13233,19,2.96,2.01,0.95
8910,22,-5.05,-0.08,4.97
10693,80,-0.53,2.87,3.4
6328,20,-5.49,2.04,7.53
14180,45,8.11,3.31,4.8
18142,33,3.16,4.21,1.04
1711,38,6.55,4.65,1.9
16583,82,5.29,0.78,4.51
5614,51,-5.29,-4.01,1.28
17484,53,-1.36,5.95,7.31
24116,1,0.34,-3.87,4.21
19840,60,6.26,5.01,1.25
6450,6,-9.66,-0.51,9.15
17758,38,-1.89,4.17,6.06
10094,32,1.26,-0.24,1.5
16781,38,-3.35,-1.09,2.26
23454,15,7.09,-3.85,10.94
5330,57,-3.79,-6.68,2.89
3280,46,2.62,5.15,2.53
5911,50,3.64,4.22,0.58
20964,25,3.25,0.49,2.76
10079,68,1.36,0.23,1.13
5270,48,7.28,1.69,5.59
1598,14,-9.66,-4.27,5.39
13477,56,5.53,-1.36,6.89
8325,56,3.69,-3.23,6.92
6097,40,3.93,1.85,2.08
13631,9,7.38,2.48,4.9
8217,77,7.62,1.59,6.03
3756,12,0.49,-1.12,1.61
24359,36,-8.59,-5.79,2.8
16939,97,6.7,1.47,5.23
19698,65,6.55,5.25,1.3
21591,39,1.84,0.62,1.22
23180,32,-4.9,-2.57,2.33
10341,44,4.42,3.69,0.73
12400,26,2.86,3.28,0.42
23321,59,-8.01,-2.59,5.42
16047,26,3.25,4.02,0.77
22903,36,8.5,3.53,4.97
24423,48,8.59,7.44,1.15
2268,7,-2.18,-1.22,0.96
14758,71,-0.44,3.04,3.48
10192,12,5.1,-2.1,7.2
18331,7,5.73,-2.35,8.08
17156,5,1.21,3.69,2.48
10147,98,3.64,0.51,3.13
17026,59,-3.3,-1.93,1.37
607,17,-3.69,-3.19,0.5
6849,50,4.66,-0.12,4.78
21270,53,1.36,5.1,3.74
2513,61,-7.72,3.94,11.66
11687,76,0.1,-0.81,0.91
2556,6,-6.75,-0.7,6.05
7110,69,-4.13,-1.93,2.2
4780,59,3.06,-1.28,4.34
22831,10,2.67,4.15,1.48
6725,18,3.01,-0.39,3.4
18257,38,2.67,1.82,0.85
11452,41,3.88,2.82,1.06
20605,56,-9.85,-3.81,6.04
2180,15,-0.05,-3.25,3.2
7757,52,3.74,3.9,0.16
12181,33,0.19,-2.23,2.42
9443,1,-0.1,0.77,0.87
13183,62,8.4,2.35,6.05
16454,12,-2.48,-1.75,0.73
3102,41,6.6,3.33,3.27
8155,92,4.66,4.45,0.21
4033,24,6.46,-0.45,6.91
